Tm,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,season
SSG Landers,30.9,5.24,144,5736,4899,755,1278,204,13,185,712,100,43,637,1056,0.261,0.353,0.421,0.775,2063,106,93,55,52,23,2021
Doosan Bears,29,5.13,144,5645,4900,738,1314,235,17,110,698,81,37,560,943,0.268,0.35,0.39,0.74,1913,137,86,46,53,13,2021
Lotte Giants,29,5.05,144,5726,5009,727,1393,266,10,107,697,60,31,579,969,0.278,0.356,0.399,0.755,2000,114,54,38,46,19,2021
Kiwoom Heroes,27.1,5.01,144,5653,4874,722,1262,244,28,91,671,97,26,595,1053,0.259,0.347,0.376,0.724,1835,93,93,35,56,17,2021
KT Wiz,29.4,4.99,144,5626,4810,719,1276,219,11,106,673,112,46,645,1047,0.265,0.356,0.381,0.738,1835,105,58,69,44,27,2021
Samsung Lions,30,4.94,144,5552,4836,712,1292,204,18,133,669,116,44,545,902,0.267,0.344,0.399,0.743,1931,98,55,48,68,21,2021
NC Dinos,29,4.88,144,5532,4808,702,1254,203,17,170,670,101,46,511,1093,0.261,0.343,0.416,0.759,2001,94,111,59,43,14,2021
LG Twins,28.4,4.54,144,5533,4750,654,1188,210,11,110,621,92,34,592,926,0.25,0.342,0.368,0.71,1750,102,94,52,45,16,2021
Hanwha Eagles,25.6,4.16,144,5495,4685,599,1111,213,17,80,554,109,56,633,1286,0.237,0.334,0.341,0.675,1598,110,74,54,49,14,2021
Kia Tigers,27.9,3.94,144,5577,4831,568,1198,183,21,66,546,73,31,595,921,0.248,0.337,0.336,0.673,1621,119,73,41,37,16,2021
League Totals,28.7,4.79,1440,56075,48402,6896,12566,2181,163,1158,6511,941,394,5892,10196,0.26,0.346,0.383,0.73,18547,1078,791,497,493,180,2021
Kia Tigers,29,5,144,5702,5000,720,1361,250,19,113,677,103,34,542,983,0.272,0.349,0.398,0.746,1988,111,63,61,36,21,2022
