AVG,AVG_adj,BB,BB9,BB9_adj,ERA,ERA_adj,G,HLD,HR,HR_adj,IP,K9,K9_adj,L,OPS,OPS_adj,PA,RBI,SO,SV,W,WHIP,WHIP_adj,age,player,prev_league,raw_stats,role,season,section,team
,,30.0,1.6770186335403727,,3.3,,29.0,,,,161.0,8.608695652173912,,8.0,,,,,154.0,,11.0,1.24,,35.0,Ko Young-pyo,,"3.30 ERA, 29 G, 11 W, 8 L, 161.0 IP, 30 BB, 154 SO, 1.24 WHIP (FA in '28)",Starter,2026,Pitchers,KT Wiz
,,29.0,1.7743031951053705,,3.3,,26.0,,,,147.1,7.52549286199864,,7.0,,,,,123.0,1.0,10.0,1.25,,25.0,So Hyeong-jun,,"3.30 ERA, 26 G, 10 W, 7 L, 1 SV, 147.1 IP, 29 BB, 123 SO, 1.25 WHIP",Starter,2026,Pitchers,KT Wiz
,,52.0,3.542770628311885,,3.67,,25.0,,,,132.1,7.698713096139289,,8.0,,,,,113.0,,11.0,1.38,,25.0,Oh Won-seok,,"3.67 ERA, 25 G, 11 W, 8 L, 132.1 IP, 52 BB, 113 SO, 1.38 WHIP",Starter,2026,Pitchers,KT Wiz
,,8.0,1.565217391304348,,6.37,,10.0,,,,46.0,4.695652173913044,,1.0,,,,,24.0,,2.0,1.45,,26.0,Matt Sauer,,"6.37 ERA, 10G, 2W, 1L, 46 IP, 8 BB, 24 SO, 1.45 WHIP",Starter,2026,Pitchers,KT Wiz
,,14.0,2.909930715935335,,6.02,,25.0,,,,43.3,8.521939953810625,,0.0,,,,,41.0,,0.0,1.57,,32.0,Caleb Boushley,MLB,"6.02 ERA, 25G, 0W, 0L, 43.3 IP, 14 BB, 41 SO, 1.57 WHIP (MLB)",Starter,2026,Pitchers,KT Wiz
,,3.0,0.6122448979591837,,2.44,,53.0,9.0,,,44.1,4.8979591836734695,,2.0,,,,,24.0,,1.0,1.08,,41.0,Wu Kyu-min,,"2.44 ERA, 53 G, 1 W, 2 L, 9 HLD, 44.1 IP, 3 BB, 24 SO, 1.08 WHIP (FA in '26)",Bullpen,2026,Pitchers,KT Wiz
,,9.0,1.8793503480278422,,2.49,,41.0,5.0,,,43.1,7.099767981438515,,0.0,,,,,34.0,,3.0,0.92,,31.0,Lee Sang-dong,,"2.49 ERA, 41 G, 3 W, 0 L, 5 HLD, 43.1 IP, 9 BB, 34 SO, 0.92 WHIP",Bullpen,2026,Pitchers,KT Wiz
,,7.0,4.772727272727273,,3.95,,21.0,4.0,,,13.2,7.5,,1.0,,,,,11.0,,0.0,1.83,,26.0,Jeon Yong-ju,,"3.95 ERA, 21 G, 0 W, 1 L, 4 HLD, 13.2 IP, 7 BB, 11 SO, 1.83 WHIP",Bullpen,2026,Pitchers,KT Wiz
,,13.0,2.9104477611940296,,4.43,,34.0,,,,40.2,4.253731343283582,,1.0,,,,,19.0,,0.0,1.5,,31.0,Ju Kwon,,"4.43 ERA, 34 G, 0 W, 1 L, 40.2 IP, 13 BB, 19 SO, 1.50 WHIP (FA in '27)",Bullpen,2026,Pitchers,KT Wiz
,,15.0,2.586206896551724,,4.96,,58.0,11.0,,,52.2,6.206896551724138,,3.0,,,,,36.0,,4.0,1.48,,34.0,Kim Min-su,,"4.96 ERA, 58 G, 4 W, 3 L, 11 HLD, 52.2 IP, 15 BB, 36 SO, 1.48 WHIP (FA in '26)",Bullpen,2026,Pitchers,KT Wiz
