Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional,season
1,Sang Kwon Byeon,24,72,171,159,19,38,5,4,0,20,0,0,9,40,0.239,0.275,0.321,0.596,51,2,0,0,3,0,player.fcgi?id=byeon-000san,2021
2,Will Craig,26,61,247,222,25,55,12,0,6,30,0,1,20,43,0.248,0.32,0.383,0.703,85,4,4,0,1,1,player.fcgi?id=craig-003wil,2021
3,David Freitas,32,43,148,139,13,36,10,0,2,14,0,0,7,29,0.259,0.297,0.374,0.671,52,7,1,0,1,0,player.fcgi?id=freita001dav,2021
4,Jung Heop Huh,31,29,52,45,5,7,0,0,0,2,0,0,7,10,0.156,0.269,0.156,0.425,7,1,0,0,0,0,player.fcgi?id=ho----004jun,2021
5,Ji Yeol Im,25,19,30,25,5,3,0,0,0,0,0,1,4,10,0.12,0.267,0.12,0.387,3,1,1,0,0,0,player.fcgi?id=lim---001ji-,2021
6,Byung-woo Jeon,28,115,261,214,35,40,8,0,6,31,3,1,33,83,0.187,0.319,0.308,0.627,66,0,9,4,1,0,player.fcgi?id=jeon--000byu,2021
7,Byeong Hwi Kim,20,13,11,10,5,2,0,0,0,0,0,0,1,2,0.2,0.273,0.2,0.473,2,0,0,0,0,0,player.fcgi?id=kim---007bye,2021
8,Eun Sung Kim,28,6,18,18,1,5,3,0,0,2,0,0,0,6,0.278,0.278,0.444,0.722,8,0,0,0,0,0,player.fcgi?id=kim---000eun,2021
9,Hyeseong Kim,22,144,635,559,99,170,20,3,3,66,46,4,65,97,0.304,0.372,0.367,0.738,205,8,1,0,10,3,player.fcgi?id=kim---016hye,2021
10,Jae Hyun Kim,28,39,51,46,2,10,7,0,0,8,0,1,3,12,0.217,0.265,0.37,0.635,17,1,0,2,0,0,player.fcgi?id=kim---019jae,2021
11,Joo-hyung Kim,25,36,70,50,5,9,3,0,0,5,1,0,4,15,0.18,0.388,0.24,0.628,12,0,13,3,0,0,player.fcgi?id=kim---005joo,2021
12,Su Hwan Kim,23,13,44,41,5,9,2,0,2,5,0,0,2,17,0.22,0.25,0.415,0.665,17,2,0,0,1,0,player.fcgi?id=kim---000suh,2021
13,Whee Jip Kim,19,34,89,70,9,9,1,0,1,8,1,0,13,23,0.129,0.279,0.186,0.465,13,0,2,3,1,0,player.fcgi?id=kim---000whe,2021
14,Woong Bin Kim,25,97,279,232,24,56,13,1,6,35,1,1,34,73,0.241,0.357,0.384,0.741,89,2,9,2,2,2,player.fcgi?id=kim---000woo,2021
15,Ji Young Lee,35,108,258,233,29,64,5,1,0,31,3,1,19,17,0.275,0.328,0.305,0.633,71,10,1,2,3,2,player.fcgi?id=lee---003ji-,2021
16,Ju Hyeong Lee,18,5,11,10,1,1,0,0,1,3,0,0,1,7,0.1,0.182,0.4,0.582,4,0,0,0,0,0,player.fcgi?id=lee---001juh,2021
17,Jung Hoo Lee,22,123,544,464,78,167,42,6,7,84,10,3,62,37,0.36,0.438,0.522,0.959,242,8,9,0,9,1,player.fcgi?id=lee---009jun,2021
18,Myuong Ki Lee,21,3,8,6,0,1,0,0,0,1,0,0,2,3,0.167,0.375,0.167,0.542,1,0,0,0,0,0,player.fcgi?id=lee---000myu,2021
19,Yong Kyu Lee,35,133,547,459,88,136,16,8,1,43,17,2,71,46,0.296,0.392,0.373,0.764,171,5,5,6,6,2,player.fcgi?id=lee---001yon,2021
20,Chan Moon#,30,13,17,14,0,2,0,0,0,1,0,0,3,4,0.143,0.294,0.143,0.437,2,1,0,0,0,0,player.fcgi?id=moon--002cha,2021
21,ByungHo Park,34,118,477,409,48,93,23,0,20,76,0,1,47,141,0.227,0.323,0.43,0.753,176,9,14,0,7,3,player.fcgi?id=park--000byu,2021
22,Dong Won Park,31,131,481,413,61,103,21,0,22,83,2,0,53,114,0.249,0.342,0.46,0.802,190,12,7,5,3,0,player.fcgi?id=park--000don,2021
23,Jeong Eum Park,32,70,18,14,19,0,0,0,0,1,4,2,2,3,0,0.167,0,0.167,0,1,1,0,1,0,player.fcgi?id=park--007jeo,2021
24,Ju Hong Park,20,23,56,47,4,5,2,0,0,3,1,1,9,21,0.106,0.25,0.149,0.399,7,1,0,0,0,0,player.fcgi?id=park--000juh,2021
25,Jun Tae Park,29,27,58,46,10,9,3,0,0,4,1,0,10,16,0.196,0.362,0.261,0.623,12,0,2,0,0,0,player.fcgi?id=park--005jun,2021
26,Jun Woo Sin,20,56,51,42,7,7,3,0,0,4,0,1,4,21,0.167,0.28,0.238,0.518,10,1,3,1,1,0,player.fcgi?id=sin---001jun,2021
27,Sung Mun Song,24,66,274,245,30,61,10,1,6,33,0,0,25,42,0.249,0.32,0.371,0.691,91,2,1,2,1,0,player.fcgi?id=song--000sun,2021
