Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional,season
1,Woo Jin An,21,8,8,0.5,3.26,21,21,0,0,0,0,107.2,88,47,39,13,41,1,110,7,1,5,450,1.198,7.4,1.1,3.4,9.2,2.68,player.fcgi?id=ahn---000woo,2021
2,Jake Brigham,33,7,3,0.7,2.95,10,10,0,0,0,0,61,49,25,20,6,26,0,49,4,0,3,250,1.23,7.2,0.9,3.8,7.2,1.88,player.fcgi?id=brigha001jac,2021
3,Sang Woo Cho,26,6,5,0.5454545454545454,3.48,44,0,26,0,0,15,44,30,18,17,4,19,2,47,2,0,2,187,1.114,6.1,0.8,3.9,9.6,2.47,player.fcgi?id=cho---002san,2021
4,Young Gun Cho,22,0,0,,0,1,0,1,0,0,0,1,1,0,0,0,2,0,3,0,0,0,6,3,9,0,18,27,1.5,player.fcgi?id=jo----000you,2021
5,Won Tae Choi,24,9,11,0.45,4.58,28,28,0,0,0,0,143.1,163,89,73,11,53,2,93,10,0,3,643,1.507,10.2,0.7,3.3,5.8,1.75,player.fcgi?id=choi--003won,2021
6,Hyun Hee Han,28,6,2,0.75,3.89,18,15,0,0,0,0,85.2,86,42,37,4,30,0,61,6,0,3,372,1.354,9,0.4,3.2,6.4,2.03,player.fcgi?id=han---000hyu,2021
7,Jae Young Jang,19,0,1,0,9.17,19,2,3,0,0,0,17.2,15,18,18,0,24,0,14,3,0,5,92,2.208,7.6,0,12.2,7.1,0.58,player.fcgi?id=jang--004jae,2021
9,Eric Jokisch,31,16,9,0.64,2.93,31,31,0,0,0,0,181.1,171,71,59,12,46,2,131,4,0,9,739,1.197,8.5,0.6,2.3,6.5,2.85,player.fcgi?id=jokisc001eri,2021
10,Dong Hyeok Kim,19,0,5,0,5.05,40,8,10,0,0,1,82,89,51,46,5,34,4,30,14,1,0,367,1.5,9.8,0.5,3.7,3.3,0.88,player.fcgi?id=kim---022don,2021
11,Dong Uk Kim,24,0,0,,9,3,0,3,0,0,0,3,7,3,3,2,1,0,2,0,0,0,16,2.667,21,6,3,6,2,player.fcgi?id=kim---023don,2021
12,In-beom Kim,21,0,0,,0,3,0,2,0,0,0,5.1,3,0,0,0,1,0,5,0,0,0,20,0.75,5.1,0,1.7,8.4,5,player.fcgi?id=kim---007in-,2021
13,Jae Woong Kim,22,0,1,0,3.54,51,0,9,0,0,1,53.1,49,24,21,5,33,3,47,1,0,2,243,1.538,8.3,0.8,5.6,7.9,1.42,player.fcgi?id=kim---029jae,2021
14,Jeong In Kim,25,1,2,0.3333333333333333,7.11,11,6,1,0,0,0,31.2,34,26,25,6,18,0,21,2,0,2,151,1.642,9.7,1.7,5.1,6,1.17,player.fcgi?id=kim---019jeo,2021
15,Joon Hyoung Kim,18,0,0,,3.14,14,0,2,0,0,0,14.1,15,6,5,2,7,0,8,3,0,1,67,1.535,9.4,1.3,4.4,5,1.14,player.fcgi?id=kim---007joo,2021
